
Sachau 190	PPN873588282	http://resolver.staatsbibliothek-berlin.de/SBB0001EB5600000000		1860	Eine Sammlung von Gedichten von Ephraem, von Jacob von Serūgh, Maphrejānā Simeon (Catholicus Basilius), Bar Ḳīḳī und dem ungenannten Dichter der Josephs-Geschichte
Sachau 207	PPN873588460	http://resolver.staatsbibliothek-berlin.de/SBB0001EB5700000000	1700 1799 [18. Jh.]	1700 1799	Sammlung von Gedichten von Barhebraeus und dem jakobitischen Patriarchen Johannes Bar Maʿděnī.
Sachau 206	PPN873588835	http://resolver.staatsbibliothek-berlin.de/SBB0001EB5A00000000		1663	Hierotheos
Sachau 211	PPN873589009	http://resolver.staatsbibliothek-berlin.de/SBB0001EB5B00000000	1800 1899 [19. Jh.]	1800 1899	Liber mercaturae mercaturarum
Sachau 188	PPN873589289	http://resolver.staatsbibliothek-berlin.de/SBB0001EB5C00000000		1882	Hymnarium
Sachau 90	PPN873802470	http://resolver.staatsbibliothek-berlin.de/SBB0001EBF300000000		1655	Testamentum vetus, unvollständig: die beiden Bücher der Chronik Nehemia, Ezra und Ester, nach der Peschitta, und alttestamentliche Apokryphen
Sachau 229	PPN874156130	http://resolver.staatsbibliothek-berlin.de/SBB0001EC1E00000000		1882	Gedichtsammlung
Sachau 219	PPN874157250	http://resolver.staatsbibliothek-berlin.de/SBB0001EC2000000000	1700 1799 [Anfang des 19. oder Ende des 18. Jahrhunderts]	1700 1799	Joseph und seine Brüder : epische Dichtung
	PPN874186676	http://resolver.staatsbibliothek-berlin.de/SBB0001EC2F00000000	[17. Jh. alter Teil. neuer Teil 1883]	16XX	Thesaurus linguae Syriacae
Sachau 214	PPN87418858X	http://resolver.staatsbibliothek-berlin.de/SBB0001EC4600000000		1248	Ein liturgischer Codex enthaltend die Texte für die Beerdigung der verschiedenen Stände, Geschlechter und Alter samt Angabe der begleitenden Handlungen.
Sachau 213	PPN874188822	http://resolver.staatsbibliothek-berlin.de/SBB0001EC2F00020000	1600 1699	1600 1699	Jod bis Taw
Sachau 212	PPN874195144	http://resolver.staatsbibliothek-berlin.de/SBB0001EC2F00030000	1600 1699	1600 1699	Alef bis Teth
Sachau 235	PPN874231647	http://resolver.staatsbibliothek-berlin.de/SBB0001EC4500000000	1400 1499	1400 1499	Evangelarium nach der Ḥarklensis, zu einem Teil auch nach der Pešiṭtā (s. ܦܫܝܛܐ am Rand Bl. 120v, 121 r+v) für alle Sonn- und Festtage des Jahres
Sachau 226	PPN874252865	http://resolver.staatsbibliothek-berlin.de/SBB0001EC4F00000000		1882	Syrische Sammelhandschrift
Sachau 236	PPN874323142	http://resolver.staatsbibliothek-berlin.de/SBB0001EC5E00000000		1568	Westsyrische Gesänge
Sachau 201	PPN874330165	http://resolver.staatsbibliothek-berlin.de/SBB0001EC6500000000	0600 0699	0600 0699	Bibel nach Pschiṭṭa
Sachau 198	PPN880945079	http://resolver.staatsbibliothek-berlin.de/SBB0001F56D00000000		1838	Syrische Sammelhandschrift
Sachau 227	PPN882240072	http://resolver.staatsbibliothek-berlin.de/SBB0001F7FB00000000		1842	Psalmen
Sachau 310	PPN89511660X	http://resolver.staatsbibliothek-berlin.de/SBB0002070600000000	1500 1599 [16.-17. Jh.]	1500 1599	Hexaemeron
Sachau 170	PPN895117886	http://resolver.staatsbibliothek-berlin.de/SBB0002070800000000		1882	Hexaemeron
